annotation_id,review_id,domain,entity_id,entity_name,review_text,rating,source,benchmark_type,human_has_issue,human_issue,annotation_reason,annotation_source,human_verified,annotator_notes
MINILM_GT_0079,CTRL_mobile_app_0079,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,I have used the app for weeks and it has been stable. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0177,CTRL_ecommerce_0177,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,"The logo and packaging show that this is a knockoff, not an authentic item.",1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,fake_product,Constructed single-issue example for fake product.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0285,CTRL_restaurant_0285,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,Our server was friendly and the service was attentive. Overall I was satisfied.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0223,CTRL_ecommerce_0223,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,I returned the wrong size and the refund arrived promptly. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0085,CTRL_hotel_0085,hotel,controlled_hotel,Controlled Hotel Benchmark,The carpet was filthy and the room had an unpleasant smell.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,cleanliness,Constructed single-issue example for cleanliness.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0008,CTRL_mobile_app_0008,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The sign-in screen keeps sending me back without opening my profile.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,login,Constructed single-issue example for login.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0194,CTRL_ecommerce_0194,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The item was sent in weak packaging that offered almost no protection.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,packaging,Constructed single-issue example for packaging.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0286,CTRL_restaurant_0286,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,Our server was friendly and the service was attentive. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0282,CTRL_restaurant_0282,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,"The food was fresh, hot and full of flavour. Everything worked as expected.",4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0047,CTRL_mobile_app_0047,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,Signing in worked on the first attempt and my account loaded normally. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0004,CTRL_mobile_app_0004,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,I cannot keep the app open for more than a few seconds before it shuts down.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,crash,Constructed single-issue example for crash.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0261,CTRL_restaurant_0261,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The server was unhelpful when we asked about the menu.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,staff_service,Constructed single-issue example for staff service.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0195,CTRL_ecommerce_0195,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The product feels cheaply made and the quality is much worse than expected.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,product_quality,Constructed single-issue example for product quality.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0227,CTRL_ecommerce_0227,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The parcel was sealed properly and protected with enough padding. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0178,CTRL_ecommerce_0178,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,This product is not genuine and appears to be a cheap copy.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,fake_product,Constructed single-issue example for fake product.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0058,CTRL_mobile_app_0058,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,I cancelled a trial successfully and no further charge appeared. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0095,CTRL_hotel_0095,hotel,controlled_hotel,Controlled Hotel Benchmark,The receptionist was rude and unwilling to help with a simple request.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,staff_service,Constructed single-issue example for staff service.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0290,CTRL_restaurant_0290,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,We were seated quickly and the food arrived without a long wait. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0046,CTRL_mobile_app_0046,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,Signing in worked on the first attempt and my account loaded normally. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0018,CTRL_mobile_app_0018,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,I was charged for something I never bought in the app.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,payment,Constructed single-issue example for payment.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0186,CTRL_ecommerce_0186,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The product arrived defective and would not switch on.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,damaged_item,Constructed single-issue example for damaged item.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0269,CTRL_restaurant_0269,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The portions are tiny for such an expensive price.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,price_value,Constructed single-issue example for price value.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0061,CTRL_mobile_app_0061,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,The free version shows a small banner that does not interrupt normal use. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0025,CTRL_mobile_app_0025,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,I cancelled the premium plan but the subscription renewed again.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,subscription,Constructed single-issue example for subscription.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0115,CTRL_hotel_0115,hotel,controlled_hotel,Controlled Hotel Benchmark,The hotel Wi-Fi would not connect in our room.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,wifi,Constructed single-issue example for wifi.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0211,CTRL_ecommerce_0211,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The item feels well made and works exactly as expected. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0149,CTRL_hotel_0149,hotel,controlled_hotel,Controlled Hotel Benchmark,Our booking details were correct and checkout was simple. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0310,CTRL_restaurant_0310,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The staff were polite and helpful throughout dinner. Everything worked as expected.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0259,CTRL_restaurant_0259,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The manager was dismissive when we raised a concern.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,staff_service,Constructed single-issue example for staff service.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0133,CTRL_hotel_0133,hotel,controlled_hotel,Controlled Hotel Benchmark,The staff were friendly and helpful whenever we needed anything. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0318,CTRL_restaurant_0318,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The ambience was pleasant and we could talk comfortably. Everything worked as expected.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0235,CTRL_ecommerce_0235,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The shipment arrived safely with no damage to the item. I would happily choose it again.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0313,CTRL_restaurant_0313,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The restaurant was clean and the bathroom was well maintained. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0233,CTRL_ecommerce_0233,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The shipment arrived safely with no damage to the item. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0125,CTRL_hotel_0125,hotel,controlled_hotel,Controlled Hotel Benchmark,Wi-Fi was fast enough for video calls and work. Overall I was satisfied.,5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0102,CTRL_hotel_0102,hotel,controlled_hotel,Controlled Hotel Benchmark,Traffic noise outside the window kept us awake most of the night.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,noise,Constructed single-issue example for noise.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0110,CTRL_hotel_0110,hotel,controlled_hotel,Controlled Hotel Benchmark,Check-in took more than an hour even though the room had been booked in advance.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,booking,Constructed single-issue example for booking.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0255,CTRL_restaurant_0255,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,Our waiter was rude when we asked a simple question.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,staff_service,Constructed single-issue example for staff service.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0159,CTRL_hotel_0159,hotel,controlled_hotel,Controlled Hotel Benchmark,The room was well maintained and everything was clean. I would happily choose it again.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0281,CTRL_restaurant_0281,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,"The food was fresh, hot and full of flavour. Overall I was satisfied.",5,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0032,CTRL_mobile_app_0032,mobile_app,controlled_mobile_app,Controlled Mobile App Benchmark,Advertisements cover the controls and make the app difficult to use.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,advertising,Constructed single-issue example for advertising.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0263,CTRL_restaurant_0263,restaurant,controlled_restaurant,Controlled Restaurant Benchmark,The order took far too long even though the restaurant was quiet.,1,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,wait_time,Constructed single-issue example for wait time.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0196,CTRL_ecommerce_0196,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The item does not work as described on the product page.,2,manually_constructed_controlled_benchmark,controlled_manually_constructed,1,product_quality,Constructed single-issue example for product quality.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0147,CTRL_hotel_0147,hotel,controlled_hotel,Controlled Hotel Benchmark,The hotel was peaceful at night and we slept well. I would happily choose it again.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
MINILM_GT_0219,CTRL_ecommerce_0219,ecommerce,controlled_ecommerce,Controlled Ecommerce Benchmark,The product is genuine and matches the original brand packaging. I would happily choose it again.,4,manually_constructed_controlled_benchmark,controlled_manually_constructed,0,no_issue,Constructed no-issue control example.,manually_constructed_gold_label,yes,"Controlled benchmark: label is known by construction, not an independent real-world annotation."
